trade_id,entry_time,exit_time,time_in_trade_min,trade_type,strike,expiry,trade_pnl
20260325_121506,2026-03-25 12:15:06,2026-03-25 12:26:05,11,SELL_PE,23450,2026-03-30,-330.0
20260325_123405,2026-03-25 12:34:05,2026-03-25 12:38:05,4,SELL_PE,23450,2026-03-30,-257.5
20260325_125505,2026-03-25 12:55:05,2026-03-25 13:07:05,12,SELL_CE,23400,2026-03-30,200.0
20260325_131205,2026-03-25 13:12:05,2026-03-25 13:14:05,2,SELL_CE,23400,2026-03-30,145.0
20260325_133805,2026-03-25 13:38:05,2026-03-25 13:41:05,3,SELL_PE,23450,2026-03-30,-287.5
20260325_134605,2026-03-25 13:46:05,2026-03-25 13:53:05,7,SELL_PE,23450,2026-03-30,307.5
20260325_135805,2026-03-25 13:58:05,2026-03-25 13:59:05,1,SELL_PE,23450,2026-03-30,0.0
20260325_141305,2026-03-25 14:13:05,2026-03-25 14:41:05,28,SELL_CE,23400,2026-03-30,1612.5
20260325_150805,2026-03-25 15:08:05,2026-03-25 15:09:05,1,SELL_CE,23300,2026-03-30,0.0
20260327_094706,2026-03-27 09:47:06,2026-03-27 09:49:05,2,SELL_CE,23050,2026-03-30,-75.0
20260327_095405,2026-03-27 09:54:05,2026-03-27 09:55:05,1,SELL_CE,23000,2026-03-30,0.0
20260327_100805,2026-03-27 10:08:05,2026-03-27 10:21:05,13,SELL_CE,23000,2026-03-30,797.5
20260327_104005,2026-03-27 10:40:05,2026-03-27 10:41:05,1,SELL_PE,23000,2026-03-30,0.0
20260327_105105,2026-03-27 10:51:05,2026-03-27 10:56:05,5,SELL_CE,22950,2026-03-30,650.0
20260327_110405,2026-03-27 11:04:05,2026-03-27 11:05:05,1,SELL_CE,22950,2026-03-30,0.0
20260327_112505,2026-03-27 11:25:05,2026-03-27 11:26:05,1,SELL_CE,22950,2026-03-30,0.0
20260327_113105,2026-03-27 11:31:05,2026-03-27 11:32:05,1,SELL_CE,22950,2026-03-30,0.0
20260327_113705,2026-03-27 11:37:05,2026-03-27 11:38:05,1,SELL_CE,22950,2026-03-30,0.0
20260327_114405,2026-03-27 11:44:05,2026-03-27 11:45:05,1,SELL_CE,22950,2026-03-30,0.0
20260327_120305,2026-03-27 12:03:05,2026-03-27 12:04:05,1,SELL_CE,22900,2026-03-30,0.0
20260327_121605,2026-03-27 12:16:05,2026-03-27 12:17:05,1,SELL_CE,22950,2026-03-30,0.0
20260327_122205,2026-03-27 12:22:05,2026-03-27 12:23:05,1,SELL_CE,22950,2026-03-30,0.0
20260327_122805,2026-03-27 12:28:05,2026-03-27 12:29:05,1,SELL_PE,22950,2026-03-30,0.0
20260327_123605,2026-03-27 12:36:05,2026-03-27 12:37:05,1,SELL_PE,22950,2026-03-30,0.0
20260327_124305,2026-03-27 12:43:05,2026-03-27 12:44:05,1,SELL_PE,22950,2026-03-30,0.0
20260327_125005,2026-03-27 12:50:05,2026-03-27 12:51:05,1,SELL_PE,22950,2026-03-30,0.0
20260327_130505,2026-03-27 13:05:05,2026-03-27 13:06:05,1,SELL_CE,22950,2026-03-30,0.0
20260327_131105,2026-03-27 13:11:05,2026-03-27 13:12:05,1,SELL_CE,22900,2026-03-30,0.0
20260327_132705,2026-03-27 13:27:05,2026-03-27 13:28:05,1,SELL_PE,22950,2026-03-30,0.0
20260327_134005,2026-03-27 13:40:05,2026-03-27 13:41:05,1,SELL_CE,22900,2026-03-30,0.0
20260327_134705,2026-03-27 13:47:05,2026-03-27 13:48:05,1,SELL_CE,22950,2026-03-30,0.0
20260327_140805,2026-03-27 14:08:05,2026-03-27 14:09:05,1,SELL_CE,22900,2026-03-30,0.0
20260327_141705,2026-03-27 14:17:05,2026-03-27 14:18:05,1,SELL_CE,22900,2026-03-30,0.0
20260327_142405,2026-03-27 14:24:05,2026-03-27 14:25:05,1,SELL_CE,22900,2026-03-30,0.0
20260327_143005,2026-03-27 14:30:05,2026-03-27 14:31:05,1,SELL_CE,22900,2026-03-30,0.0
20260327_143705,2026-03-27 14:37:05,2026-03-27 14:38:05,1,SELL_CE,22850,2026-03-30,0.0
20260327_144405,2026-03-27 14:44:05,2026-03-27 14:45:05,1,SELL_CE,22850,2026-03-30,0.0
20260327_145005,2026-03-27 14:50:05,2026-03-27 14:51:05,1,SELL_CE,22850,2026-03-30,0.0
20260327_150805,2026-03-27 15:08:05,2026-03-27 15:09:05,1,SELL_CE,22800,2026-03-30,0.0
